lexeme,INF,GER,PRS.PTCP.SG,PRS.PTCP.PL,PST.PTCP.M.SG,PST.PTCP.F.SG,PST.PTCP.M.PL,PST.PTCP.F.PL,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IPRF.IND.1SG,IPRF.IND.2SG,IPRF.IND.3SG,IPRF.IND.1PL,IPRF.IND.2PL,IPRF.IND.3PL,IPRF.SBJV.1SG,IPRF.SBJV.2SG,IPRF.SBJV.3SG,IPRF.SBJV.1PL,IPRF.SBJV.2PL,IPRF.SBJV.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,COND.1SG,COND.2SG,COND.3SG,COND.1PL,COND.2PL,COND.3PL,Order
giudicare,giudicare,giudicando,giudicante,giudicanti,giudicato,giudicata,giudicati,giudicate,giudica,giudichiamo,giudicate,giudico,giudichi,giudica,giudichiamo,giudicate,giudicano,giudichi,giudichi,giudichi,giudichiamo,giudichiate,giudichino,giudicavo,giudicavi,giudicava,giudicavamo,giudicavate,giudicavano,giudicassi,giudicassi,giudicasse,giudicassimo,giudicaste,giudicassero,giudicai,giudicasti,giudico,giudicammo,giudicaste,giudicarono,giudichero,giudicherai,giudichera,giudicheremo,giudicherete,giudicheranno,giudicherei,giudicheresti,giudicherebbe,giudicheremmo,giudichereste,giudicherebbero,234
sedere,sedere,sedendo,sedente,sedenti,seduto,seduta,seduti,sedute,siedi,sediamo,sedete,siedo,siedi,siede,sediamo,sedete,siedono,sieda,sieda,sieda,sediamo,sediate,siedano,sedevo,sedevi,sedeva,sedevamo,sedevate,sedevano,sedessi,sedessi,sedesse,sedessimo,sedeste,sedessero,sedetti,sedesti,sedette,sedemmo,sedeste,sedettero,siedero,siederai,siedera,siederemo,siederete,siederanno,siederei,siederesti,siederebbe,siederemmo,siedereste,siederebbero,235
registrare,registrare,registrando,registrante,registranti,registrato,registrata,registrati,registrate,registra,registriamo,registrate,registro,registri,registra,registriamo,registrate,registrano,registri,registri,registri,registriamo,registriate,registrino,registravo,registravi,registrava,registravamo,registravate,registravano,registrassi,registrassi,registrasse,registrassimo,registraste,registrassero,registrai,registrasti,registro,registrammo,registraste,registrarono,registrero,registrerai,registrera,registreremo,registrerete,registreranno,registrerei,registreresti,registrerebbe,registreremmo,registrereste,registrerebbero,236
accogliere,accogliere,accogliendo,accogliente,accoglienti,accolto,accolta,accolti,accolte,accoglii,accogliamo,accogliete,accolgo,accoglii,accoglie,accogliamo,accogliete,accolgono,accolga,accolga,accolga,accogliamo,accogliate,accolgano,accoglievo,accoglievi,accoglieva,accoglievamo,accoglievate,accoglievano,accogliessi,accogliessi,accogliesse,accogliessimo,accoglieste,accogliessero,accolsi,accogliesti,accolse,accogliemmo,accoglieste,accolsero,accogliero,accoglierai,accogliera,accoglieremo,accoglierete,accoglieranno,accoglierei,accoglieresti,accoglierebbe,accoglieremmo,accogliereste,accoglierebbero,237
denunciare,denunsciare,denunsciando,denunsciante,denunscianti,denunsciato,denunsciata,denunsciati,denunsciate,denunscia,denunsciamo,denunsciate,denunscio,denunci,denunscia,denunsciamo,denunsciate,denunsciano,denunci,denunci,denunci,denunsciamo,denunsciate,denuncino,denunsciavo,denunsciavi,denunsciava,denunsciavamo,denunsciavate,denunsciavano,denunsciassi,denunsciassi,denunsciasse,denunsciassimo,denunsciaste,denunsciassero,denunsciai,denunsciasti,denunscio,denunsciammo,denunsciaste,denunsciarono,denunsciero,denunscierai,denunsciera,denunscieremo,denunscierete,denunscieranno,denunscierei,denunscieresti,denunscierebbe,denunscieremmo,denunsciereste,denunscierebbero,238
impedire,impedire,impedendo,impedente,impedenti,impedito,impedita,impediti,impedite,impedisci,impediamo,impedite,impedisco,impedisci,impedisce,impediamo,impedite,impediscono,impedisca,impedisca,impedisca,impediamo,impediate,impediscano,impedivo,impedivi,impediva,impedivamo,impedivate,impedivano,impedissi,impedissi,impedisse,impedissimo,impediste,impedissero,impedii,impedisti,impedi,impedimmo,impediste,impedirono,impediro,impedirai,impedira,impediremo,impedirete,impediranno,impedirei,impediresti,impedirebbe,impediremmo,impedireste,impedirebbero,239
commentare,commentare,commentando,commentante,commentanti,commentato,commentata,commentati,commentate,commenta,commentiamo,commentate,commento,commenti,commenta,commentiamo,commentate,commentano,commenti,commenti,commenti,commentiamo,commentiate,commentino,commentavo,commentavi,commentava,commentavamo,commentavate,commentavano,commentassi,commentassi,commentasse,commentassimo,commentaste,commentassero,commentai,commentasti,commento,commentammo,commentaste,commentarono,commentero,commenterai,commentera,commenteremo,commenterete,commenteranno,commenterei,commenteresti,commenterebbe,commenteremmo,commentereste,commenterebbero,240
promettere,promettere,promettendo,promettente,promettenti,promesso,promessa,promessi,promesse,prometti,promettiamo,promettete,prometto,prometti,promette,promettiamo,promettete,promettono,prometta,prometta,prometta,promettiamo,promettiate,promettano,promettevo,promettevi,prometteva,promettevamo,promettevate,promettevano,promettessi,promettessi,promettesse,promettessimo,prometteste,promettessero,promizi,promettesti,promize,promettemmo,prometteste,promizero,promettero,prometterai,promettera,prometteremo,prometterete,prometteranno,prometterei,prometteresti,prometterebbe,prometteremmo,promettereste,prometterebbero,241
dividere,dividere,dividendo,dividente,dividenti,divizo,divisa,divizi,divize,dividi,dividiamo,dividete,divido,dividi,divide,dividiamo,dividete,dividono,divida,divida,divida,dividiamo,dividiate,dividano,dividevo,dividevi,divideva,dividevamo,dividevate,dividevano,dividessi,dividessi,dividesse,dividessimo,divideste,dividessero,divizi,dividesti,divize,dividemmo,divideste,divizero,dividero,dividerai,dividera,divideremo,dividerete,divideranno,dividerei,divideresti,dividerebbe,divideremmo,dividereste,dividerebbero,242
conquistare,conquistare,conquistando,conquistante,conquistanti,conquistato,conquistata,conquistati,conquistate,conquista,conquistiamo,conquistate,conquisto,conquisti,conquista,conquistiamo,conquistate,conquistano,conquisti,conquisti,conquisti,conquistiamo,conquistiate,conquistino,conquistavo,conquistavi,conquistava,conquistavamo,conquistavate,conquistavano,conquistassi,conquistassi,conquistasse,conquistassimo,conquistaste,conquistassero,conquistai,conquistasti,conquisto,conquistammo,conquistaste,conquistarono,conquistero,conquisterai,conquistera,conquisteremo,conquisterete,conquisteranno,conquisterei,conquisteresti,conquisterebbe,conquisteremmo,conquistereste,conquisterebbero,243
arrestare,arrestare,arrestando,arrestante,arrestanti,arrestato,arrestata,arrestati,arrestate,arresta,arrestiamo,arrestate,arresto,arresti,arresta,arrestiamo,arrestate,arrestano,arresti,arresti,arresti,arrestiamo,arrestiate,arrestino,arrestavo,arrestavi,arrestava,arrestavamo,arrestavate,arrestavano,arrestassi,arrestassi,arrestasse,arrestassimo,arrestaste,arrestassero,arrestai,arrestasti,arresto,arrestammo,arrestaste,arrestarono,arrestero,arresterai,arrestera,arresteremo,arresterete,arresteranno,arresterei,arresteresti,arresterebbe,arresteremmo,arrestereste,arresterebbero,244
riferire,riferire,riferendo,riferente,riferenti,riferito,riferita,riferiti,riferite,riferisci,riferiamo,riferite,riferisco,riferisci,riferisce,riferiamo,riferite,riferiscono,riferisca,riferisca,riferisca,riferiamo,riferiate,riferiscano,riferivo,riferivi,riferiva,riferivamo,riferivate,riferivano,riferissi,riferissi,riferisse,riferissimo,riferiste,riferissero,riferii,riferisti,riferi,riferimmo,riferiste,riferirono,riferiro,riferirai,riferira,riferiremo,riferirete,riferiranno,riferirei,riferiresti,riferirebbe,riferiremmo,riferireste,riferirebbero,245
verificare,verificare,verificando,verificante,verificanti,verificato,verificata,verificati,verificate,verifica,verifichiamo,verificate,verifico,verifichi,verifica,verifichiamo,verificate,verificano,verifichi,verifichi,verifichi,verifichiamo,verifichiate,verifichino,verificavo,verificavi,verificava,verificavamo,verificavate,verificavano,verificassi,verificassi,verificasse,verificassimo,verificaste,verificassero,verificai,verificasti,verifico,verificammo,verificaste,verificarono,verifichero,verificherai,verifichera,verificheremo,verificherete,verificheranno,verificherei,verificheresti,verificherebbe,verificheremmo,verifichereste,verificherebbero,246
appartenere,appartenere,appartenendo,appartenente,appartenenti,appartenuto,appartenuta,appartenuti,appartenute,appartieni,apparteniamo,appartenete,appartengo,appartieni,appartiene,apparteniamo,appartenete,appartengono,appartenga,appartenga,appartenga,apparteniamo,apparteniate,appartengano,appartenevo,appartenevi,apparteneva,appartenevamo,appartenevate,appartenevano,appartenessi,appartenessi,appartenesse,appartenessimo,apparteneste,appartenessero,appartenni,appartenesti,appartenne,appartenemmo,apparteneste,appartennero,apparterro,apparterrai,apparterra,apparterremo,apparterrete,apparterranno,apparterrei,apparterresti,apparterrebbe,apparterremmo,apparterreste,apparterrebbero,247
suonare,swonare,swonando,swonante,swonanti,swonato,swonata,swonati,swonate,swona,swoniamo,swonate,swono,swoni,swona,swoniamo,swonate,swonano,swoni,swoni,swoni,swoniamo,swoniate,swonino,swonavo,swonavi,swonava,swonavamo,swonavate,swonavano,swonassi,swonassi,swonasse,swonassimo,swonaste,swonassero,swonai,swonasti,swono,swonammo,swonaste,swonarono,swonero,swonerai,swonera,swoneremo,swonerete,swoneranno,swonerei,swoneresti,swonerebbe,swoneremmo,swonereste,swonerebbero,248
comportare,comportare,comportando,comportante,comportanti,comportato,comportata,comportati,comportate,comporta,comportiamo,comportate,comporto,comporti,comporta,comportiamo,comportate,comportano,comporti,comporti,comporti,comportiamo,comportiate,comportino,comportavo,comportavi,comportava,comportavamo,comportavate,comportavano,comportassi,comportassi,comportasse,comportassimo,comportaste,comportassero,comportai,comportasti,comporto,comportammo,comportaste,comportarono,comportero,comporterai,comportera,comporteremo,comporterete,comporteranno,comporterei,comporteresti,comporterebbe,comporteremmo,comportereste,comporterebbero,249
scattare,scattare,scattando,scattante,scattanti,scattato,scattata,scattati,scattate,scatta,scattiamo,scattate,scatto,scatti,scatta,scattiamo,scattate,scattano,scatti,scatti,scatti,scattiamo,scattiate,scattino,scattavo,scattavi,scattava,scattavamo,scattavate,scattavano,scattassi,scattassi,scattasse,scattassimo,scattaste,scattassero,scattai,scattasti,scatto,scattammo,scattaste,scattarono,scattero,scatterai,scattera,scatteremo,scatterete,scatteranno,scatterei,scatteresti,scatterebbe,scatteremmo,scattereste,scatterebbero,250
sparare,sparare,sparando,sparante,sparanti,sparato,sparata,sparati,sparate,spara,spariamo,sparate,sparo,spari,spara,spariamo,sparate,sparano,spari,spari,spari,spariamo,spariate,sparino,sparavo,sparavi,sparava,sparavamo,sparavate,sparavano,sparassi,sparassi,sparasse,sparassimo,sparaste,sparassero,sparai,sparasti,sparo,sparammo,sparaste,spararono,sparero,sparerai,sparera,spareremo,sparerete,spareranno,sparerei,spareresti,sparerebbe,spareremmo,sparereste,sparerebbero,251
avvertire,avvertire,avvertendo,avvertente,avvertenti,avvertito,avvertita,avvertiti,avvertite,avverti,avvertiamo,avvertite,avverto,avverti,avverte,avvertiamo,avvertite,avvertono,avverta,avverta,avverta,avvertiamo,avvertiate,avvertano,avvertivo,avvertivi,avvertiva,avvertivamo,avvertivate,avvertivano,avvertissi,avvertissi,avvertisse,avvertissimo,avvertiste,avvertissero,avvertii,avvertisti,avverti,avvertimmo,avvertiste,avvertirono,avvertiro,avvertirai,avvertira,avvertiremo,avvertirete,avvertiranno,avvertirei,avvertiresti,avvertirebbe,avvertiremmo,avvertireste,avvertirebbero,252
rientrare,rientrare,rientrando,rientrante,rientranti,rientrato,rientrata,rientrati,rientrate,rientra,rientriamo,rientrate,rientro,rientri,rientra,rientriamo,rientrate,rientrano,rientri,rientri,rientri,rientriamo,rientriate,rientrino,rientravo,rientravi,rientrava,rientravamo,rientravate,rientravano,rientrassi,rientrassi,rientrasse,rientrassimo,rientraste,rientrassero,rientrai,rientrasti,rientro,rientrammo,rientraste,rientrarono,rientrero,rientrerai,rientrera,rientreremo,rientrerete,rientreranno,rientrerei,rientreresti,rientrerebbe,rientreremmo,rientrereste,rientrerebbero,253
abitare,abitare,abitando,abitante,abitanti,abitato,abitata,abitati,abitate,abita,abitiamo,abitate,abito,abiti,abita,abitiamo,abitate,abitano,abiti,abiti,abiti,abitiamo,abitiate,abitino,abitavo,abitavi,abitava,abitavamo,abitavate,abitavano,abitassi,abitassi,abitasse,abitassimo,abitaste,abitassero,abitai,abitasti,abito,abitammo,abitaste,abitarono,abitero,abiterai,abitera,abiteremo,abiterete,abiteranno,abiterei,abiteresti,abiterebbe,abiteremmo,abitereste,abiterebbero,254
funzionare,funtsionare,funtsionando,funtsionante,funtsionanti,funtsionato,funtsionata,funtsionati,funtsionate,funtsiona,funtsioniamo,funtsionate,funtsiono,funtsioni,funtsiona,funtsioniamo,funtsionate,funtsionano,funtsioni,funtsioni,funtsioni,funtsioniamo,funtsioniate,funtsionino,funtsionavo,funtsionavi,funtsionava,funtsionavamo,funtsionavate,funtsionavano,funtsionassi,funtsionassi,funtsionasse,funtsionassimo,funtsionaste,funtsionassero,funtsionai,funtsionasti,funtsiono,funtsionammo,funtsionaste,funtsionarono,funtsionero,funtsionerai,funtsionera,funtsioneremo,funtsionerete,funtsioneranno,funtsionerei,funtsioneresti,funtsionerebbe,funtsioneremmo,funtsionereste,funtsionerebbero,255
curare,curare,curando,curante,curanti,curato,curata,curati,curate,cura,curiamo,curate,curo,curi,cura,curiamo,curate,curano,curi,curi,curi,curiamo,curiate,curino,curavo,curavi,curava,curavamo,curavate,curavano,curassi,curassi,curasse,curassimo,curaste,curassero,curai,curasti,curo,curammo,curaste,curarono,curero,curerai,curera,cureremo,curerete,cureranno,curerei,cureresti,curerebbe,cureremmo,curereste,curerebbero,256
scomparire,scomparire,scomparendo,scomparente,scomparenti,scomparso,scomparsa,scomparsi,scomparse,scompari,scompariamo,scomparite,scompaio,scompari,scompare,scompariamo,scomparite,scompaiono,scompaia,scompaia,scompaia,scompariamo,scompariate,scompaiano,scomparivo,scomparivi,scompariva,scomparivamo,scomparivate,scomparivano,scomparissi,scomparissi,scomparisse,scomparissimo,scompariste,scomparissero,scomparvi,scomparisti,scomparve,scomparimmo,scompariste,scomparvero,scompariro,scomparirai,scomparira,scompariremo,scomparirete,scompariranno,scomparirei,scompariresti,scomparirebbe,scompariremmo,scomparireste,scomparirebbero,257
assistere,assistere,assistendo,assistente,assistenti,assistito,assistita,assistiti,assistite,assisti,assistiamo,assistete,assisto,assisti,assiste,assistiamo,assistete,assistono,assista,assista,assista,assistiamo,assistiate,assistano,assistevo,assistevi,assisteva,assistevamo,assistevate,assistevano,assistessi,assistessi,assistesse,assistessimo,assisteste,assistessero,assistetti,assistesti,assistette,assistemmo,assisteste,assistettero,assistero,assisterai,assistera,assisteremo,assisterete,assisteranno,assisterei,assisteresti,assisterebbe,assisteremmo,assistereste,assisterebbero,258
proseguire,proseguire,prosegwendo,prosegwente,prosegwenti,proseguito,proseguita,proseguiti,proseguite,prosegui,prosegwiamo,proseguite,prosegwo,prosegui,prosegwe,prosegwiamo,proseguite,prosegwono,prosegua,prosegua,prosegua,prosegwiamo,prosegwiate,proseguano,proseguivo,proseguivi,proseguiva,proseguivamo,proseguivate,proseguivano,proseguissi,proseguissi,proseguisse,proseguissimo,proseguiste,proseguissero,proseguii,proseguisti,prosegui,proseguimmo,proseguiste,proseguirono,proseguiro,proseguirai,proseguira,proseguiremo,proseguirete,proseguiranno,proseguirei,proseguiresti,proseguirebbe,proseguiremmo,proseguireste,proseguirebbero,259
gridare,gridare,gridando,gridante,gridanti,gridato,gridata,gridati,gridate,grida,gridiamo,gridate,grido,gridi,grida,gridiamo,gridate,gridano,gridi,gridi,gridi,gridiamo,gridiate,gridino,gridavo,gridavi,gridava,gridavamo,gridavate,gridavano,gridassi,gridassi,gridasse,gridassimo,gridaste,gridassero,gridai,gridasti,grido,gridammo,gridaste,gridarono,gridero,griderai,gridera,grideremo,griderete,grideranno,griderei,grideresti,griderebbe,grideremmo,gridereste,griderebbero,260
bloccare,bloccare,bloccando,bloccante,bloccanti,bloccato,bloccata,bloccati,bloccate,blocca,blokchiamo,bloccate,blocco,blokchi,blocca,blokchiamo,bloccate,bloccano,blokchi,blokchi,blokchi,blokchiamo,blokchiate,blokchino,bloccavo,bloccavi,bloccava,bloccavamo,bloccavate,bloccavano,bloccassi,bloccassi,bloccasse,bloccassimo,bloccaste,bloccassero,bloccai,bloccasti,blocco,bloccammo,bloccaste,bloccarono,blokchero,blokcherai,blokchera,blokcheremo,blokcherete,blokcheranno,blokcherei,blokcheresti,blokcherebbe,blokcheremmo,blokchereste,blokcherebbero,261
capitare,capitare,capitando,capitante,capitanti,capitato,capitata,capitati,capitate,capita,capitiamo,capitate,capito,capiti,capita,capitiamo,capitate,capitano,capiti,capiti,capiti,capitiamo,capitiate,capitino,capitavo,capitavi,capitava,capitavamo,capitavate,capitavano,capitassi,capitassi,capitasse,capitassimo,capitaste,capitassero,capitai,capitasti,capito,capitammo,capitaste,capitarono,capitero,capiterai,capitera,capiteremo,capiterete,capiteranno,capiterei,capiteresti,capiterebbe,capiteremmo,capitereste,capiterebbero,262
cantare,cantare,cantando,cantante,cantanti,cantato,cantata,cantati,cantate,canta,cantiamo,cantate,canto,canti,canta,cantiamo,cantate,cantano,canti,canti,canti,cantiamo,cantiate,cantino,cantavo,cantavi,cantava,cantavamo,cantavate,cantavano,cantassi,cantassi,cantasse,cantassimo,cantaste,cantassero,cantai,cantasti,canto,cantammo,cantaste,cantarono,cantero,canterai,cantera,canteremo,canterete,canteranno,canterei,canteresti,canterebbe,canteremmo,cantereste,canterebbero,263
interpretare,interpretare,interpretando,interpretante,interpretanti,interpretato,interpretata,interpretati,interpretate,interpreta,interpretiamo,interpretate,interpreto,interpreti,interpreta,interpretiamo,interpretate,interpretano,interpreti,interpreti,interpreti,interpretiamo,interpretiate,interpretino,interpretavo,interpretavi,interpretava,interpretavamo,interpretavate,interpretavano,interpretassi,interpretassi,interpretasse,interpretassimo,interpretaste,interpretassero,interpretai,interpretasti,interpreto,interpretammo,interpretaste,interpretarono,interpretero,interpreterai,interpretera,interpreteremo,interpreterete,interpreteranno,interpreterei,interpreteresti,interpreterebbe,interpreteremmo,interpretereste,interpreterebbero,264
coinvolgere,coinvolgere,coinvolgendo,coinvolgente,coinvolgenti,coinvolto,coinvolta,coinvolti,coinvolte,coinvolgi,coinvoldʒamo,coinvolgete,coinvolgo,coinvolgi,coinvolge,coinvoldʒamo,coinvolgete,coinvolgono,coinvolga,coinvolga,coinvolga,coinvoldʒamo,coinvoldʒate,coinvolgano,coinvolgevo,coinvolgevi,coinvolgeva,coinvolgevamo,coinvolgevate,coinvolgevano,coinvolgessi,coinvolgessi,coinvolgesse,coinvolgessimo,coinvolgeste,coinvolgessero,coinvolsi,coinvolgesti,coinvolse,coinvolgemmo,coinvolgeste,coinvolsero,coinvolgero,coinvolgerai,coinvolgera,coinvolgeremo,coinvolgerete,coinvolgeranno,coinvolgerei,coinvolgeresti,coinvolgerebbe,coinvolgeremmo,coinvolgereste,coinvolgerebbero,265
consegnare,consegnare,consegnando,consegnante,consegnanti,consegnato,consegnata,consegnati,consegnate,consegna,consegnamo,consegnate,consegno,consegni,consegna,consegnamo,consegnate,consegnano,consegni,consegni,consegni,consegnamo,consegnate,consegnino,consegnavo,consegnavi,consegnava,consegnavamo,consegnavate,consegnavano,consegnassi,consegnassi,consegnasse,consegnassimo,consegnaste,consegnassero,consegnai,consegnasti,consegno,consegnammo,consegnaste,consegnarono,consegnero,consegnerai,consegnera,consegneremo,consegnerete,consegneranno,consegnerei,consegneresti,consegnerebbe,consegneremmo,consegnereste,consegnerebbero,266
sostituire,sostituire,sostituendo,sostituente,sostituenti,sostituito,sostituita,sostituiti,sostituite,sostituisci,sostituiamo,sostituite,sostituisco,sostituisci,sostituisce,sostituiamo,sostituite,sostituiscono,sostituisca,sostituisca,sostituisca,sostituiamo,sostituiate,sostituiscano,sostituivo,sostituivi,sostituiva,sostituivamo,sostituivate,sostituivano,sostituissi,sostituissi,sostituisse,sostituissimo,sostituiste,sostituissero,sostituii,sostituisti,sostitui,sostituimmo,sostituiste,sostituirono,sostituiro,sostituirai,sostituira,sostituiremo,sostituirete,sostituiranno,sostituirei,sostituiresti,sostituirebbe,sostituiremmo,sostituireste,sostituirebbero,267
allontanare,allontanare,allontanando,allontanante,allontananti,allontanato,allontanata,allontanati,allontanate,allontana,allontaniamo,allontanate,allontano,allontani,allontana,allontaniamo,allontanate,allontanano,allontani,allontani,allontani,allontaniamo,allontaniate,allontanino,allontanavo,allontanavi,allontanava,allontanavamo,allontanavate,allontanavano,allontanassi,allontanassi,allontanasse,allontanassimo,allontanaste,allontanassero,allontanai,allontanasti,allontano,allontanammo,allontanaste,allontanarono,allontanero,allontanerai,allontanera,allontaneremo,allontanerete,allontaneranno,allontanerei,allontaneresti,allontanerebbe,allontaneremmo,allontanereste,allontanerebbero,268
interessare,interessare,interessando,interessante,interessanti,interessato,interessata,interessati,interessate,interessa,interessiamo,interessate,interesso,interessi,interessa,interessiamo,interessate,interessano,interessi,interessi,interessi,interessiamo,interessiate,interessino,interessavo,interessavi,interessava,interessavamo,interessavate,interessavano,interessassi,interessassi,interessasse,interessassimo,interessaste,interessassero,interessai,interessasti,interesso,interessammo,interessaste,interessarono,interessero,interesserai,interessera,interesseremo,interesserete,interesseranno,interesserei,interesseresti,interesserebbe,interesseremmo,interessereste,interesserebbero,269
ritornare,ritornare,ritornando,ritornante,ritornanti,ritornato,ritornata,ritornati,ritornate,ritorna,ritorniamo,ritornate,ritorno,ritorni,ritorna,ritorniamo,ritornate,ritornano,ritorni,ritorni,ritorni,ritorniamo,ritorniate,ritornino,ritornavo,ritornavi,ritornava,ritornavamo,ritornavate,ritornavano,ritornassi,ritornassi,ritornasse,ritornassimo,ritornaste,ritornassero,ritornai,ritornasti,ritorno,ritornammo,ritornaste,ritornarono,ritornero,ritornerai,ritornera,ritorneremo,ritornerete,ritorneranno,ritornerei,ritorneresti,ritornerebbe,ritorneremmo,ritornereste,ritornerebbero,270
saltare,saltare,saltando,saltante,saltanti,saltato,saltata,saltati,saltate,salta,saltiamo,saltate,salto,salti,salta,saltiamo,saltate,saltano,salti,salti,salti,saltiamo,saltiate,saltino,saltavo,saltavi,saltava,saltavamo,saltavate,saltavano,saltassi,saltassi,saltasse,saltassimo,saltaste,saltassero,saltai,saltasti,salto,saltammo,saltaste,saltarono,saltero,salterai,saltera,salteremo,salterete,salteranno,salterei,salteresti,salterebbe,salteremmo,saltereste,salterebbero,271
trasferire,trasferire,trasferendo,trasferente,trasferenti,trasferito,trasferita,trasferiti,trasferite,trasferisci,trasferiamo,trasferite,trasferisco,trasferisci,trasferisce,trasferiamo,trasferite,trasferiscono,trasferisca,trasferisca,trasferisca,trasferiamo,trasferiate,trasferiscano,trasferivo,trasferivi,trasferiva,trasferivamo,trasferivate,trasferivano,trasferissi,trasferissi,trasferisse,trasferissimo,trasferiste,trasferissero,trasferii,trasferisti,trasferi,trasferimmo,trasferiste,trasferirono,trasferiro,trasferirai,trasferira,trasferiremo,trasferirete,trasferiranno,trasferirei,trasferiresti,trasferirebbe,trasferiremmo,trasferireste,trasferirebbero,272
limitare,limitare,limitando,limitante,limitanti,limitato,limitata,limitati,limitate,limita,limitiamo,limitate,limito,limiti,limita,limitiamo,limitate,limitano,limiti,limiti,limiti,limitiamo,limitiate,limitino,limitavo,limitavi,limitava,limitavamo,limitavate,limitavano,limitassi,limitassi,limitasse,limitassimo,limitaste,limitassero,limitai,limitasti,limito,limitammo,limitaste,limitarono,limitero,limiterai,limitera,limiteremo,limiterete,limiteranno,limiterei,limiteresti,limiterebbe,limiteremmo,limitereste,limiterebbero,273
sottoporre,sottoporre,sottoponendo,sottoponente,sottoponenti,sottoposto,sottoposta,sottoposti,sottoposte,sottoponi,sottoponiamo,sottoponete,sottopongo,sottoponi,sottopone,sottoponiamo,sottoponete,sottopongono,sottoponga,sottoponga,sottoponga,sottoponiamo,sottoponiate,sottopongano,sottoponevo,sottoponevi,sottoponeva,sottoponevamo,sottoponevate,sottoponevano,sottoponessi,sottoponessi,sottoponesse,sottoponessimo,sottoponeste,sottoponessero,sottopozi,sottoponesti,sottopoze,sottoponemmo,sottoponeste,sottopozero,sottoporro,sottoporrai,sottoporra,sottoporremo,sottoporrete,sottoporranno,sottoporrei,sottoporresti,sottoporrebbe,sottoporremmo,sottoporreste,sottoporrebbero,274
liberare,liberare,liberando,liberante,liberanti,liberato,liberata,liberati,liberate,libera,liberiamo,liberate,libero,liberi,libera,liberiamo,liberate,liberano,liberi,liberi,liberi,liberiamo,liberiate,liberino,liberavo,liberavi,liberava,liberavamo,liberavate,liberavano,liberassi,liberassi,liberasse,liberassimo,liberaste,liberassero,liberai,liberasti,libero,liberammo,liberaste,liberarono,liberero,libererai,liberera,libereremo,libererete,libereranno,libererei,libereresti,libererebbe,libereremmo,liberereste,libererebbero,275
conservare,conservare,conservando,conservante,conservanti,conservato,conservata,conservati,conservate,conserva,conserviamo,conservate,conservo,conservi,conserva,conserviamo,conservate,conservano,conservi,conservi,conservi,conserviamo,conserviate,conservino,conservavo,conservavi,conservava,conservavamo,conservavate,conservavano,conservassi,conservassi,conservasse,conservassimo,conservaste,conservassero,conservai,conservasti,conservo,conservammo,conservaste,conservarono,conservero,conserverai,conservera,conserveremo,conserverete,conserveranno,conserverei,conserveresti,conserverebbe,conserveremmo,conservereste,conserverebbero,276
avviare,avviare,avviando,avviante,avvianti,avviato,avviata,avviati,avviate,avvia,avviamo,avviate,avvio,avvii,avvia,avviamo,avviate,avviano,avvii,avvii,avvii,avviamo,avviate,avviino,avviavo,avviavi,avviava,avviavamo,avviavate,avviavano,avviassi,avviassi,avviasse,avviassimo,avviaste,avviassero,avviai,avviasti,avvio,avviammo,avviaste,avviarono,avviero,avvierai,avviera,avvieremo,avvierete,avvieranno,avvierei,avvieresti,avvierebbe,avvieremmo,avviereste,avvierebbero,277
coprire,coprire,coprendo,coprente,coprenti,coperto,coperta,coperti,coperte,copri,copriamo,coprite,copro,copri,copre,copriamo,coprite,coprono,copra,copra,copra,copriamo,copriate,coprano,coprivo,coprivi,copriva,coprivamo,coprivate,coprivano,coprissi,coprissi,coprisse,coprissimo,copriste,coprissero,coprii,copristi,copri,coprimmo,copriste,coprirono,copriro,coprirai,coprira,copriremo,coprirete,copriranno,coprirei,copriresti,coprirebbe,copriremmo,coprireste,coprirebbero,278
precisare,precisare,precisando,precisante,precisanti,precisato,precisata,precisati,precisate,precisa,preciziamo,precisate,precizo,precizi,precisa,preciziamo,precisate,precisano,precizi,precizi,precizi,preciziamo,preciziate,precizino,precisavo,precisavi,precisava,precisavamo,precisavate,precisavano,precisassi,precisassi,precisasse,precisassimo,precisaste,precisassero,precisai,precisasti,precizo,precisammo,precisaste,precisarono,precizero,precizerai,precizera,precizeremo,precizerete,precizeranno,precizerei,precizeresti,precizerebbe,precizeremmo,precizereste,precizerebbero,279
