lexeme,INF,GER,PRS.PTCP.SG,PRS.PTCP.PL,PST.PTCP.M.SG,PST.PTCP.F.SG,PST.PTCP.M.PL,PST.PTCP.F.PL,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IPRF.IND.1SG,IPRF.IND.2SG,IPRF.IND.3SG,IPRF.IND.1PL,IPRF.IND.2PL,IPRF.IND.3PL,IPRF.SBJV.1SG,IPRF.SBJV.2SG,IPRF.SBJV.3SG,IPRF.SBJV.1PL,IPRF.SBJV.2PL,IPRF.SBJV.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,COND.1SG,COND.2SG,COND.3SG,COND.1PL,COND.2PL,COND.3PL,Order
coniare,coniare,coniando,coniante,conianti,coniato,coniata,coniati,coniate,conia,coniamo,coniate,conio,coni,conia,coniamo,coniate,coniano,coni,coni,coni,coniamo,coniate,conino,coniavo,coniavi,coniava,coniavamo,coniavate,coniavano,coniassi,coniassi,coniasse,coniassimo,coniaste,coniassero,coniai,coniasti,conio,coniammo,coniaste,coniarono,coniero,conierai,coniera,conieremo,conierete,conieranno,conierei,conieresti,conierebbe,conieremmo,coniereste,conierebbero,1554
conversare,conversare,conversando,conversante,conversanti,conversato,conversata,conversati,conversate,conversa,conversiamo,conversate,converso,conversi,conversa,conversiamo,conversate,conversano,conversi,conversi,conversi,conversiamo,conversiate,conversino,conversavo,conversavi,conversava,conversavamo,conversavate,conversavano,conversassi,conversassi,conversasse,conversassimo,conversaste,conversassero,conversai,conversasti,converso,conversammo,conversaste,conversarono,conversero,converserai,conversera,converseremo,converserete,converseranno,converserei,converseresti,converserebbe,converseremmo,conversereste,converserebbero,1555
curiosare,curiosare,curiosando,curiosante,curiosanti,curiosato,curiosata,curiosati,curiosate,curiosa,curioziamo,curiosate,curiozo,curiozi,curiosa,curioziamo,curiosate,curiosano,curiozi,curiozi,curiozi,curioziamo,curioziate,curiozino,curiosavo,curiosavi,curiosava,curiosavamo,curiosavate,curiosavano,curiosassi,curiosassi,curiosasse,curiosassimo,curiosaste,curiosassero,curiosai,curiosasti,curiozo,curiosammo,curiosaste,curiosarono,curiozero,curiozerai,curiozera,curiozeremo,curiozerete,curiozeranno,curiozerei,curiozeresti,curiozerebbe,curiozeremmo,curiozereste,curiozerebbero,1556
derubare,derubare,derubando,derubante,derubanti,derubato,derubata,derubati,derubate,deruba,derubiamo,derubate,derubo,derubi,deruba,derubiamo,derubate,derubano,derubi,derubi,derubi,derubiamo,derubiate,derubino,derubavo,derubavi,derubava,derubavamo,derubavate,derubavano,derubassi,derubassi,derubasse,derubassimo,derubaste,derubassero,derubai,derubasti,derubo,derubammo,derubaste,derubarono,derubero,deruberai,derubera,deruberemo,deruberete,deruberanno,deruberei,deruberesti,deruberebbe,deruberemmo,derubereste,deruberebbero,1557
diplomare,diplomare,diplomando,diplomante,diplomanti,diplomato,diplomata,diplomati,diplomate,diploma,diplomiamo,diplomate,diplomo,diplomi,diploma,diplomiamo,diplomate,diplomano,diplomi,diplomi,diplomi,diplomiamo,diplomiate,diplomino,diplomavo,diplomavi,diplomava,diplomavamo,diplomavate,diplomavano,diplomassi,diplomassi,diplomasse,diplomassimo,diplomaste,diplomassero,diplomai,diplomasti,diplomo,diplomammo,diplomaste,diplomarono,diplomero,diplomerai,diplomera,diplomeremo,diplomerete,diplomeranno,diplomerei,diplomeresti,diplomerebbe,diplomeremmo,diplomereste,diplomerebbero,1558
disarmare,disarmare,disarmando,disarmante,disarmanti,disarmato,disarmata,disarmati,disarmate,disarma,disarmiamo,disarmate,disarmo,disarmi,disarma,disarmiamo,disarmate,disarmano,disarmi,disarmi,disarmi,disarmiamo,disarmiate,disarmino,disarmavo,disarmavi,disarmava,disarmavamo,disarmavate,disarmavano,disarmassi,disarmassi,disarmasse,disarmassimo,disarmaste,disarmassero,disarmai,disarmasti,disarmo,disarmammo,disarmaste,disarmarono,disarmero,disarmerai,disarmera,disarmeremo,disarmerete,disarmeranno,disarmerei,disarmeresti,disarmerebbe,disarmeremmo,disarmereste,disarmerebbero,1559
dissociare,dissosciare,dissosciando,dissosciante,dissoscianti,dissosciato,dissosciata,dissosciati,dissosciate,dissoscia,dissosciamo,dissosciate,dissoscio,dissoci,dissoscia,dissosciamo,dissosciate,dissosciano,dissoci,dissoci,dissoci,dissosciamo,dissosciate,dissocino,dissosciavo,dissosciavi,dissosciava,dissosciavamo,dissosciavate,dissosciavano,dissosciassi,dissosciassi,dissosciasse,dissosciassimo,dissosciaste,dissosciassero,dissosciai,dissosciasti,dissoscio,dissosciammo,dissosciaste,dissosciarono,dissosciero,dissoscierai,dissosciera,dissoscieremo,dissoscierete,dissoscieranno,dissoscierei,dissoscieresti,dissoscierebbe,dissoscieremmo,dissosciereste,dissoscierebbero,1560
divampare,divampare,divampando,divampante,divampanti,divampato,divampata,divampati,divampate,divampa,divampiamo,divampate,divampo,divampi,divampa,divampiamo,divampate,divampano,divampi,divampi,divampi,divampiamo,divampiate,divampino,divampavo,divampavi,divampava,divampavamo,divampavate,divampavano,divampassi,divampassi,divampasse,divampassimo,divampaste,divampassero,divampai,divampasti,divampo,divampammo,divampaste,divamparono,divampero,divamperai,divampera,divamperemo,divamperete,divamperanno,divamperei,divamperesti,divamperebbe,divamperemmo,divampereste,divamperebbero,1561
dolere,dolere,dolendo,dolente,dolenti,doluto,doluta,doluti,dolute,dwoli,doliamo,dolete,dolgo,dwoli,dwole,doliamo,dolete,dolgono,dolga,dolga,dolga,doliamo,doliate,dolgano,dolevo,dolevi,doleva,dolevamo,dolevate,dolevano,dolessi,dolessi,dolesse,dolessimo,doleste,dolessero,dolsi,dolesti,dolse,dolemmo,doleste,dolsero,dorro,dorrai,dorra,dorremo,dorrete,dorranno,dorrei,dorresti,dorrebbe,dorremmo,dorreste,dorrebbero,1562
echeggiare,echeggiare,echeggiando,echeggiante,echeggianti,echeggiato,echeggiata,echeggiati,echeggiate,echeggia,echeggiamo,echeggiate,echedgio,echedgi,echeggia,echeggiamo,echeggiate,echeggiano,echedgi,echedgi,echedgi,echeggiamo,echeggiate,echedgino,echeggiavo,echeggiavi,echeggiava,echeggiavamo,echeggiavate,echeggiavano,echeggiassi,echeggiassi,echeggiasse,echeggiassimo,echeggiaste,echeggiassero,echeggiai,echeggiasti,echedgio,echeggiammo,echeggiaste,echeggiarono,echedgero,echedgerai,echedgera,echedgeremo,echedgerete,echedgeranno,echedgerei,echedgeresti,echedgerebbe,echedgeremmo,echedgereste,echedgerebbero,1563
fasciare,fasciare,fasciando,fasciante,fascianti,fasciato,fasciata,fasciati,fasciate,fascia,fasciamo,fasciate,fascio,fasci,fascia,fasciamo,fasciate,fasciano,fasci,fasci,fasci,fasciamo,fasciate,fascino,fasciavo,fasciavi,fasciava,fasciavamo,fasciavate,fasciavano,fasciassi,fasciassi,fasciasse,fasciassimo,fasciaste,fasciassero,fasciai,fasciasti,fascio,fasciammo,fasciaste,fasciarono,fascero,fascerai,fascera,fasceremo,fascerete,fasceranno,fascerei,fasceresti,fascerebbe,fasceremmo,fascereste,fascerebbero,1564
fremere,fremere,fremendo,fremente,frementi,fremuto,fremuta,fremuti,fremute,fremi,fremiamo,fremete,fremo,fremi,freme,fremiamo,fremete,fremono,frema,frema,frema,fremiamo,fremiate,fremano,fremevo,fremevi,fremeva,fremevamo,fremevate,fremevano,fremessi,fremessi,fremesse,fremessimo,fremeste,fremessero,fremetti,fremesti,fremette,frememmo,fremeste,fremettero,fremero,fremerai,fremera,fremeremo,fremerete,fremeranno,fremerei,fremeresti,fremerebbe,fremeremmo,fremereste,fremerebbero,1565
giustiziare,giustittsiare,giustittsiando,giustittsiante,giustittsianti,giustittsiato,giustittsiata,giustittsiati,giustittsiate,giustittsia,giustittsiamo,giustittsiate,giustittsio,giustittsi,giustittsia,giustittsiamo,giustittsiate,giustittsiano,giustittsi,giustittsi,giustittsi,giustittsiamo,giustittsiate,giustittsino,giustittsiavo,giustittsiavi,giustittsiava,giustittsiavamo,giustittsiavate,giustittsiavano,giustittsiassi,giustittsiassi,giustittsiasse,giustittsiassimo,giustittsiaste,giustittsiassero,giustittsiai,giustittsiasti,giustittsio,giustittsiammo,giustittsiaste,giustittsiarono,giustittsiero,giustittsierai,giustittsiera,giustittsieremo,giustittsierete,giustittsieranno,giustittsierei,giustittsieresti,giustittsierebbe,giustittsieremmo,giustittsiereste,giustittsierebbero,1566
